title,creator,description,date,type,format,link,cdmid
"Some Lived Some Died, It Was Understood",Mark Calnon,Mark Calnon's memoir being a POW in WWII.,1995,Text,application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/0,0
Calnon 95th Birthday,Mark Calnon,Photograph of Calnon on his 95th birthday,2013-08-01,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/1,1
B17 Exterior Photo 4,Mark Calnon,Photograph of the exterior of exhibition B20,1980,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/2,2
Calnon Letter to Crew,Mark Calnon,Letter to surviving crew with reports.,1992-08-05,Text,application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/3,3
B17 Exterior Photo 5,Mark Calnon,Photograph of the exterior of exhibition B21,1980,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/4,4
B17 Pilot Controls,Mark Calnon,Photographs of pilots controls in exhibition B17,1980,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/5,5
B17 Bomb Bay,Mark Calnon,Photograph of empty bomb bay in a exhibition B17,1980,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/6,6
B17 Gun Seat,Mark Calnon,Photograph of B17 Gun Seat in exhibition B17,1980,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/7,7
Calnon 384th Reunion,Mark Calnon,Photograph of Calnon's Bomber Group years after the war.,1980,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/8,8
B17 Interior,Mark Calnon,Photograph of the interior of B17,1980,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/9,9
